id,name,birthDate,gender,type
36987-2520,Bernadene,2017-08-28,F,Cat
0378-4472,Tomlin,2019-07-29,M,Dog
55154-6664,Markus,2016-06-28,M,Cat
51079-889,Luis,2014-12-20,M,Bird
43857-0287,Brien,2009-06-19,M,Cat
58836-0972,Osborn,2010-01-27,M,Bird
68084-621,Atlante,2017-07-01,F,Ferret
37000-101,Kip,2011-07-25,M,Hamster
24236-015,Brande,2018-04-16,F,Hamster
49288-0896,Sindee,2011-03-29,F,Dog
58668-5820,Blake,2006-11-15,M,Hamster
55648-545,Odilia,2006-10-29,F,Cat
63736-859,Helyn,2012-01-01,F,Ferret
54868-4558,Lou,2005-11-12,M,Cat
43538-600,Kevan,2016-03-22,M,Hamster
36987-1922,Britte,2015-10-07,F,Dog
43742-0157,Shelley,2013-09-09,M,Dog
49288-0641,Roze,2019-03-30,F,Dog
11118-1102,Bili,2008-06-05,F,Bird
66961-120,Bobbie,2004-05-10,M,Hamster
57955-5015,Nahum,2016-07-20,M,Dog
43857-0170,Robina,2003-10-13,F,Cat
63941-145,Olivie,2012-05-09,F,Dog
36987-1986,Denys,2017-10-24,F,Hamster
67938-2022,Sandro,2013-07-05,M,Ferret
42747-327,Micheil,2018-08-28,M,Ferret
48951-1107,Alexandre,2017-08-14,M,Dog
57237-014,Elberta,2012-04-11,F,Cat
0078-0442,Jackqueline,2018-02-21,F,Hamster
48951-8206,Fernandina,2011-12-14,F,Hamster
52125-574,Jamie,2006-11-28,M,Cat
54569-6043,Latisha,2013-08-13,F,Cat
44224-2000,Ike,2004-04-15,M,Dog
0268-1153,Sherwin,2014-06-19,M,Hamster
57955-1851,Burty,2019-01-03,M,Bird
76369-1001,Rubetta,2004-06-07,F,Ferret
68083-111,Ram,2012-04-16,M,Hamster
42211-102,Courtnay,2017-09-30,M,Dog
58517-240,Murdock,2019-01-16,M,Bird
43353-829,Sonny,2018-04-11,M,Bird
47682-184,L;urette,2005-01-03,F,Bird
54868-5847,Travers,2016-09-24,M,Bird
63304-905,Angelina,2018-10-25,F,Cat
53808-0419,Dougie,2005-08-21,M,Dog
63629-4390,Crosby,2010-03-21,M,Cat
49288-0400,Mirilla,2009-02-19,F,Ferret
41268-612,Chane,2015-08-04,M,Hamster
0904-5962,Donnell,2015-06-08,M,Cat
36987-1381,Harriott,2014-03-31,F,Hamster
55154-5876,Rice,2006-06-19,M,Bird
41268-344,Greer,2012-08-11,F,Cat
65597-107,Conrado,2013-07-30,M,Dog
54868-1796,Prudy,2014-10-04,F,Bird
33992-0113,Stirling,2017-12-28,M,Ferret
62175-486,Hagen,2010-12-20,M,Bird
21130-230,Joelle,2016-02-09,F,Dog
49349-954,Ddene,2016-01-23,F,Ferret
53877-005,Lelia,2006-10-13,F,Ferret
49873-113,Bartram,2008-02-06,M,Hamster
57664-228,Rex,2013-07-07,M,Ferret
56104-001,Adam,2011-07-21,M,Cat
54868-6266,Pavlov,2009-07-21,M,Ferret
66490-691,Gregg,2017-06-25,M,Hamster
65862-005,Bert,2018-06-28,M,Ferret
49738-622,Ernst,2010-01-24,M,Ferret
57337-057,Martie,2012-05-15,M,Dog
43846-0030,Vin,2009-03-16,M,Ferret
58876-107,Paxton,2006-01-19,M,Cat
55154-9384,Phelia,2013-09-11,F,Bird
52124-0106,Delmor,2006-07-07,M,Dog
0591-3508,Tammie,2009-07-11,F,Dog
55289-809,De witt,2012-05-30,M,Cat
75857-0001,Kipp,2003-09-13,M,Cat
42507-056,Duky,2015-02-15,M,Ferret
0363-0006,Ludwig,2011-02-03,M,Ferret
49643-341,Pia,2017-10-04,F,Hamster
55154-9557,Saul,2007-06-09,M,Bird
21695-043,Tallou,2008-09-06,F,Cat
0555-0762,Corbin,2017-09-18,M,Ferret
0378-0553,Paxon,2009-08-25,M,Dog
49035-289,Antons,2008-06-12,M,Ferret
0268-1412,Zabrina,2014-01-25,F,Bird
0406-9920,Dari,2019-01-07,F,Dog
43742-0410,Adara,2018-04-30,F,Dog
68788-9390,Akim,2008-08-15,M,Bird
51206-304,Pavla,2015-08-30,F,Dog
49527-022,Kesley,2011-09-20,F,Cat
59045-1005,Nicol,2014-09-18,F,Cat
21695-711,Everard,2005-07-16,M,Ferret
0186-4050,Jeddy,2013-09-22,M,Cat
49349-280,Correna,2009-02-25,F,Dog
49035-148,Aarika,2010-08-12,F,Hamster
47781-207,Angelita,2009-12-30,F,Ferret
52959-303,Elton,2012-04-14,M,Bird
0228-2530,Berni,2005-08-31,F,Bird
51079-976,Sheila,2018-06-26,F,Cat
68180-481,Judi,2018-02-22,F,Cat
49967-105,Dal,2010-02-26,M,Hamster
55315-102,Tadeo,2016-12-10,M,Dog
41190-074,Laird,2006-07-07,M,Hamster
13913-011,Cirilo,2012-01-01,M,Cat
0009-0049,Pavel,2016-12-10,M,Bird
40057-1001,Shanna,2018-11-08,F,Dog
0363-8203,Herold,2013-01-28,M,Ferret
53208-503,Darya,2007-12-14,F,Hamster
0409-7241,Desirae,2016-11-15,F,Bird
50436-7054,Arte,2017-05-04,M,Cat
52142-001,Janie,2016-07-09,F,Ferret
57664-106,Hana,2016-06-18,F,Dog
10157-9883,Kile,2017-02-08,M,Hamster
65649-511,Billi,2017-01-28,F,Cat
68084-525,Malinde,2017-10-03,F,Cat
37808-637,Corrinne,2007-05-06,F,Dog
52959-130,Teddy,2005-12-25,M,Ferret
63148-558,Myrah,2014-06-20,F,Hamster
56062-873,Isabel,2010-06-22,F,Hamster
65044-2678,Darsey,2015-07-11,F,Dog
49035-023,Bil,2005-07-09,M,Cat
49884-462,Samson,2009-04-14,M,Bird
49999-963,Kial,2010-10-04,F,Hamster
41595-1058,Ebenezer,2013-10-26,M,Hamster
0955-1030,Avie,2013-04-30,F,Dog
47335-727,Rouvin,2018-04-19,M,Bird
36987-2681,Liane,2018-01-09,F,Bird
37000-024,Salmon,2016-05-28,M,Cat
0555-0211,Em,2018-09-25,M,Dog
37000-154,Iseabal,2016-07-30,F,Bird
58394-016,Vanya,2009-09-22,F,Hamster
0904-6214,Kin,2019-05-02,M,Ferret
49035-105,Arther,2007-03-08,M,Hamster
10812-258,Lyndy,2004-02-08,F,Bird
64725-0161,Natalya,2003-11-13,F,Ferret
64117-276,Sallyann,2011-01-26,F,Cat
61957-0511,Aldous,2017-01-18,M,Hamster
52125-817,Jehanna,2014-03-17,F,Ferret
76237-136,Drake,2005-09-04,M,Ferret
37808-368,Matteo,2013-10-21,M,Dog
42912-0153,Kamillah,2012-12-09,F,Ferret
49288-0891,Bertie,2014-08-08,M,Hamster
59899-002,Enrico,2003-12-04,M,Ferret
36987-1714,Esme,2013-01-22,F,Ferret
49349-037,Abby,2007-10-14,F,Hamster
11489-076,Ronny,2013-09-28,F,Ferret
43269-831,Tyler,2005-07-25,M,Ferret
61300-0001,Theobald,2011-07-14,M,Bird
65862-123,Blanch,2017-08-30,F,Cat
68382-140,Waldemar,2018-09-05,M,Hamster
33992-8801,Chere,2007-04-26,F,Cat
44717-533,Mina,2017-09-03,F,Bird
65923-505,Marven,2006-12-27,M,Ferret
43857-0211,Jemmy,2012-07-07,F,Dog
65862-111,Mignonne,2007-07-01,F,Hamster
55154-5762,Emmey,2013-09-24,F,Cat
54868-3713,Frankie,2011-03-08,F,Ferret
36987-1677,Fawnia,2018-11-27,F,Cat
55289-014,Augustina,2008-02-23,F,Bird
63148-225,Hamel,2005-09-06,M,Hamster
37205-960,Fin,2010-08-15,M,Cat
0363-0438,Clemens,2014-12-24,M,Dog
0067-4990,Audre,2008-08-30,F,Ferret
0615-5578,Cindee,2013-12-29,F,Dog
64997-180,Ardyce,2014-09-14,F,Ferret
58668-4281,Samara,2003-10-09,F,Hamster
37808-444,Harbert,2010-07-04,M,Cat
50222-503,Mufinella,2017-10-20,F,Bird
